Airport.Code,Airport.Name,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
TPA,"Tampa, FL: Tampa International",1,January,2010,394,366,340,6,21,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",11,59,1128,5,4537,5729,19367,21944,11923,342,55598,2022
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2,Febuary,2010,1194,2204,2826,9,324,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,2226,6557,24,22446,31253,90288,164040,129234,264,418899,35073
BOS,"Boston, MA: Logan International",2,Febuary,2010,482,504,857,1,76,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,785,1918,23,5692,8418,26826,34300,49510,54,117814,7124
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2,Febuary,2010,321,498,350,5,69,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,1352,1242,34,4693,7321,18241,28243,16036,175,67524,4829
CLT,"Charlotte, NC: Charlotte Douglas International",2,Febuary,2010,387,459,682,6,52,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,414,1586,3,6878,8881,21370,23878,23481,246,74984,6009
DCA,"Washington, DC: Ronald Reagan Washington National",2,Febuary,2010,271,235,284,7,46,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.",12,1346,842,10,3763,5961,15095,13126,10265,329,42701,3886
DEN,"Denver, CO: Denver International",2,Febuary,2010,604,1284,809,7,54,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",12,383,2758,9,14663,17813,30234,71402,25427,261,130896,3572
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2,Febuary,2010,763,1696,1347,11,192,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,1303,4011,73,15174,20561,55643,98603,46372,437,217321,16266
DTW,"Detroit, MI: Detroit Metro Wayne County",2,Febuary,2010,747,1127,1161,7,70,"Pinnacle Airlines Inc.,American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,635,3114,9,7873,11631,53795,76799,40496,233,176755,5432
EWR,"Newark, NJ: Newark Liberty International",2,Febuary,2010,230,437,1113,9,74,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,1195,1865,11,5649,8720,15190,26196,56546,266,106385,8187
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2,Febuary,2010,408,433,495,6,46,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,US Airways Inc.,Southwest Airlines Co.",10,252,1389,11,3749,5401,21345,29154,20674,214,74674,3287
IAD,"Washington, DC: Washington Dulles International",2,Febuary,2010,270,349,301,2,31,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,962,953,17,3509,5441,16243,22901,12502,111,55320,3563
